time,node,idleness
1,0,15.0
1,1,15.0
1,2,16.0
1,3,16.0
1,4,16.0
1,5,16.0
1,6,16.0
1,7,15.0
1,8,15.0
2,0,15.0
2,1,15.0
2,2,15.0
2,3,31.0
2,4,15.0
2,5,15.0
2,6,31.0
2,7,15.0
2,8,15.0
3,0,30.0
3,1,30.0
3,2,30.0
3,3,46.0
3,4,30.0
3,5,30.0
3,6,46.0
3,7,30.0
3,8,30.0
4,0,45.0
4,1,45.0
4,2,45.0
4,3,61.0
4,4,45.0
4,5,45.0
4,6,61.0
4,7,45.0
4,8,45.0
5,0,60.0
5,1,60.0
5,2,60.0
5,3,76.0
5,4,60.0
5,5,60.0
5,6,76.0
5,7,60.0
5,8,60.0
6,0,75.0
6,1,75.0
6,2,75.0
6,3,91.0
6,4,75.0
6,5,75.0
6,6,91.0
6,7,75.0
6,8,75.0
7,0,90.0
7,1,90.0
7,2,90.0
7,3,106.0
7,4,90.0
7,5,90.0
7,6,106.0
7,7,90.0
7,8,90.0
8,0,105.0
8,1,15.0
8,2,105.0
8,3,121.0
8,4,105.0
8,5,105.0
8,6,121.0
8,7,105.0
8,8,105.0
9,0,120.0
9,1,15.0
9,2,120.0
9,3,136.0
9,4,15.0
9,5,120.0
9,6,136.0
9,7,120.0
9,8,120.0
10,0,135.0
10,1,30.0
10,2,135.0
10,3,151.0
10,4,30.0
10,5,135.0
10,6,151.0
10,7,135.0
10,8,135.0
11,0,150.0
11,1,45.0
11,2,150.0
11,3,166.0
11,4,45.0
11,5,150.0
11,6,166.0
11,7,150.0
11,8,150.0
12,0,165.0
12,1,60.0
12,2,165.0
12,3,181.0
12,4,60.0
12,5,165.0
12,6,181.0
12,7,165.0
12,8,165.0
13,0,180.0
13,1,75.0
13,2,180.0
13,3,196.0
13,4,75.0
13,5,180.0
13,6,196.0
13,7,180.0
13,8,180.0
14,0,195.0
14,1,90.0
14,2,195.0
14,3,211.0
14,4,90.0
14,5,195.0
14,6,211.0
14,7,195.0
14,8,15.0
15,0,15.0
15,1,105.0
15,2,210.0
15,3,226.0
15,4,15.0
15,5,15.0
15,6,226.0
15,7,15.0
15,8,15.0
16,0,15.0
16,1,120.0
16,2,15.0
16,3,241.0
16,4,30.0
16,5,30.0
16,6,241.0
16,7,15.0
16,8,30.0
17,0,30.0
17,1,135.0
17,2,30.0
17,3,256.0
17,4,45.0
17,5,45.0
17,6,256.0
17,7,30.0
17,8,45.0
18,0,45.0
18,1,150.0
18,2,45.0
18,3,271.0
18,4,60.0
18,5,60.0
18,6,271.0
18,7,45.0
18,8,60.0
19,0,60.0
19,1,165.0
19,2,60.0
19,3,286.0
19,4,75.0
19,5,75.0
19,6,286.0
19,7,60.0
19,8,75.0
20,0,75.0
20,1,15.0
20,2,75.0
20,3,301.0
20,4,90.0
20,5,90.0
20,6,301.0
20,7,75.0
20,8,90.0
21,0,90.0
21,1,15.0
21,2,90.0
21,3,316.0
21,4,15.0
21,5,105.0
21,6,316.0
21,7,90.0
21,8,105.0
22,0,105.0
22,1,30.0
22,2,105.0
22,3,331.0
22,4,30.0
22,5,120.0
22,6,331.0
22,7,105.0
22,8,120.0
23,0,120.0
23,1,45.0
23,2,120.0
23,3,346.0
23,4,45.0
23,5,135.0
23,6,346.0
23,7,120.0
23,8,135.0
24,0,135.0
24,1,60.0
24,2,135.0
24,3,361.0
24,4,60.0
24,5,150.0
24,6,361.0
24,7,135.0
24,8,150.0
25,0,150.0
25,1,75.0
25,2,150.0
25,3,376.0
25,4,75.0
25,5,165.0
25,6,376.0
25,7,150.0
25,8,165.0
26,0,165.0
26,1,90.0
26,2,165.0
26,3,391.0
26,4,90.0
26,5,15.0
26,6,391.0
26,7,165.0
26,8,180.0
27,0,180.0
27,1,105.0
27,2,15.0
27,3,406.0
27,4,105.0
27,5,30.0
27,6,406.0
27,7,180.0
27,8,195.0
28,0,195.0
28,1,120.0
28,2,30.0
28,3,421.0
28,4,15.0
28,5,45.0
28,6,421.0
28,7,195.0
28,8,210.0
29,0,210.0
29,1,135.0
29,2,45.0
29,3,436.0
29,4,30.0
29,5,60.0
29,6,436.0
29,7,210.0
29,8,225.0
30,0,225.0
30,1,150.0
30,2,60.0
30,3,451.0
30,4,45.0
30,5,75.0
30,6,451.0
30,7,225.0
30,8,240.0
31,0,240.0
31,1,165.0
31,2,75.0
31,3,466.0
31,4,60.0
31,5,90.0
31,6,466.0
31,7,240.0
31,8,255.0
32,0,255.0
32,1,180.0
32,2,90.0
32,3,481.0
32,4,75.0
32,5,105.0
32,6,481.0
32,7,255.0
32,8,270.0
33,0,270.0
33,1,195.0
33,2,105.0
33,3,496.0
33,4,90.0
33,5,120.0
33,6,496.0
33,7,270.0
33,8,285.0
34,0,285.0
34,1,210.0
34,2,120.0
34,3,511.0
34,4,105.0
34,5,135.0
34,6,511.0
34,7,285.0
34,8,300.0
35,0,300.0
35,1,15.0
35,2,135.0
35,3,526.0
35,4,120.0
35,5,150.0
35,6,526.0
35,7,300.0
35,8,315.0
36,0,315.0
36,1,15.0
36,2,150.0
36,3,15.0
36,4,15.0
36,5,165.0
36,6,541.0
36,7,315.0
36,8,330.0
37,0,330.0
37,1,30.0
37,2,165.0
37,3,30.0
37,4,30.0
37,5,180.0
37,6,556.0
37,7,330.0
37,8,345.0
38,0,345.0
38,1,45.0
38,2,180.0
38,3,45.0
38,4,45.0
38,5,195.0
38,6,571.0
38,7,345.0
38,8,360.0
39,0,360.0
39,1,60.0
39,2,195.0
39,3,60.0
39,4,60.0
39,5,210.0
39,6,586.0
39,7,360.0
39,8,375.0
40,0,15.0
40,1,75.0
40,2,210.0
40,3,75.0
40,4,75.0
40,5,225.0
40,6,601.0
40,7,15.0
40,8,15.0
41,0,15.0
41,1,90.0
41,2,15.0
41,3,90.0
41,4,15.0
41,5,15.0
41,6,616.0
41,7,15.0
41,8,15.0
42,0,30.0
42,1,105.0
42,2,30.0
42,3,105.0
42,4,30.0
42,5,30.0
42,6,631.0
42,7,30.0
42,8,30.0
43,0,45.0
43,1,120.0
43,2,45.0
43,3,120.0
43,4,45.0
43,5,45.0
43,6,646.0
43,7,45.0
43,8,45.0
44,0,60.0
44,1,135.0
44,2,60.0
44,3,135.0
44,4,60.0
44,5,60.0
44,6,661.0
44,7,60.0
44,8,60.0
45,0,75.0
45,1,150.0
45,2,75.0
45,3,150.0
45,4,75.0
45,5,75.0
45,6,676.0
45,7,75.0
45,8,75.0
46,0,90.0
46,1,165.0
46,2,90.0
46,3,165.0
46,4,90.0
46,5,90.0
46,6,691.0
46,7,90.0
46,8,90.0
47,0,105.0
47,1,180.0
47,2,105.0
47,3,15.0
47,4,105.0
47,5,105.0
47,6,706.0
47,7,105.0
47,8,105.0
48,0,120.0
48,1,195.0
48,2,120.0
48,3,30.0
48,4,120.0
48,5,120.0
48,6,721.0
48,7,120.0
48,8,120.0
49,0,135.0
49,1,210.0
49,2,135.0
49,3,45.0
49,4,135.0
49,5,135.0
49,6,736.0
49,7,135.0
49,8,135.0
50,0,150.0
50,1,225.0
50,2,150.0
50,3,60.0
50,4,150.0
50,5,150.0
50,6,751.0
50,7,150.0
50,8,150.0
51,0,165.0
51,1,240.0
51,2,165.0
51,3,75.0
51,4,165.0
51,5,165.0
51,6,766.0
51,7,165.0
51,8,165.0
52,0,180.0
52,1,255.0
52,2,15.0
52,3,90.0
52,4,180.0
52,5,15.0
52,6,781.0
